openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-DSA-44
keygen-iters: 1000
keygen-wall-median-ns: 460074.0
keygen-wall-mean-ns: 461225.1
keygen-wall-std-ns: 5456.8
keygen-wall-p95-ns: 471167.0
keygen-wall-p99-ns: 478315.0
keygen-wall-ci95lo-ns: 460886.8
keygen-wall-ci95hi-ns: 461563.3
keygen-cyc-median: 24838.0
keygen-cyc-mean: 24900.1
keygen-persec: 2173.6
sign-iters: 1000
sign-wall-median-ns: 2013203.0
sign-wall-mean-ns: 2601169.3
sign-wall-std-ns: 1906637.6
sign-wall-p95-ns: 5880426.0
sign-wall-p99-ns: 9732408.0
sign-wall-ci95lo-ns: 2482994.7
sign-wall-ci95hi-ns: 2719343.9
sign-cyc-median: 108706.0
sign-cyc-mean: 140457.2
sign-persec: 496.7
verify-iters: 1000
verify-wall-median-ns: 525352.0
verify-wall-mean-ns: 526886.6
verify-wall-std-ns: 4189.4
verify-wall-p95-ns: 535130.0
verify-wall-p99-ns: 536259.0
verify-wall-ci95lo-ns: 526626.9
verify-wall-ci95hi-ns: 527146.3
verify-cyc-median: 28363.0
verify-cyc-mean: 28445.9
verify-persec: 1903.5
size-key-bits: 10496
size-pubkey-bytes: 1312
size-privkey-bytes: 2560
size-signature-bytes: 2420
