openssl: OpenSSL 3.6.2 7 Apr 2026
algo: rsa-15360
key-size: 15360
keygen-iters: 100
keygen-wall-median-ns: 37111316172.0
keygen-wall-mean-ns: 41752148273.6
keygen-wall-std-ns: 25741383877.7
keygen-wall-p95-ns: 88969300923.0
keygen-wall-p99-ns: 103894292460.0
keygen-wall-ci95lo-ns: 36706837033.6
keygen-wall-ci95hi-ns: 46797459513.6
keygen-cyc-median: 99755213392.0
keygen-cyc-mean: 112229770275.5
keygen-persec: 0.0
pss-sign-iters: 100
pss-sign-wall-median-ns: 152035471.0
pss-sign-wall-mean-ns: 152251697.0
pss-sign-wall-std-ns: 1282323.1
pss-sign-wall-p95-ns: 152283815.0
pss-sign-wall-p99-ns: 159479336.0
pss-sign-wall-ci95lo-ns: 152000361.7
pss-sign-wall-ci95hi-ns: 152503032.3
pss-sign-cyc-median: 408671266.0
pss-sign-cyc-mean: 409252473.4
pss-sign-persec: 6.6
pss-verify-iters: 100
pss-verify-wall-median-ns: 669979.0
pss-verify-wall-mean-ns: 669623.0
pss-verify-wall-std-ns: 2691.8
pss-verify-wall-p95-ns: 673539.0
pss-verify-wall-p99-ns: 673786.0
pss-verify-wall-ci95lo-ns: 669095.4
pss-verify-wall-ci95hi-ns: 670150.6
pss-verify-cyc-median: 1800846.0
pss-verify-cyc-mean: 1799883.7
pss-verify-persec: 1492.6
oaep-encrypt-iters: 100
oaep-encrypt-wall-median-ns: 669104.0
oaep-encrypt-wall-mean-ns: 669896.2
oaep-encrypt-wall-std-ns: 3228.5
oaep-encrypt-wall-p95-ns: 673967.0
oaep-encrypt-wall-p99-ns: 674544.0
oaep-encrypt-wall-ci95lo-ns: 669263.4
oaep-encrypt-wall-ci95hi-ns: 670529.0
oaep-encrypt-cyc-median: 1798492.0
oaep-encrypt-cyc-mean: 1800617.0
oaep-encrypt-persec: 1494.5
oaep-decrypt-iters: 100
oaep-decrypt-wall-median-ns: 151994736.0
oaep-decrypt-wall-mean-ns: 152125649.8
oaep-decrypt-wall-std-ns: 1397376.8
oaep-decrypt-wall-p95-ns: 152219564.0
oaep-decrypt-wall-p99-ns: 160034650.0
oaep-decrypt-wall-ci95lo-ns: 151851763.9
oaep-decrypt-wall-ci95hi-ns: 152399535.6
oaep-decrypt-cyc-median: 408561750.0
oaep-decrypt-cyc-mean: 408913664.2
oaep-decrypt-persec: 6.6
size-key-bits: 15360
size-signature-bytes: 1920
