openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-DSA-44
keygen-iters: 1000
keygen-wall-median-ns: 69811.0
keygen-wall-mean-ns: 70056.9
keygen-wall-std-ns: 1593.0
keygen-wall-p95-ns: 72102.0
keygen-wall-p99-ns: 74193.0
keygen-wall-ci95lo-ns: 69958.2
keygen-wall-ci95hi-ns: 70155.7
keygen-cyc-median: 187584.0
keygen-cyc-mean: 188244.1
keygen-persec: 14324.4
sign-iters: 1000
sign-wall-median-ns: 284528.0
sign-wall-mean-ns: 371984.4
sign-wall-std-ns: 249383.3
sign-wall-p95-ns: 839698.0
sign-wall-p99-ns: 1306619.0
sign-wall-ci95lo-ns: 356527.5
sign-wall-ci95hi-ns: 387441.4
sign-cyc-median: 764756.0
sign-cyc-mean: 999833.9
sign-persec: 3514.6
verify-iters: 1000
verify-wall-median-ns: 76058.0
verify-wall-mean-ns: 76161.1
verify-wall-std-ns: 684.1
verify-wall-p95-ns: 77318.0
verify-wall-p99-ns: 77656.0
verify-wall-ci95lo-ns: 76118.7
verify-wall-ci95hi-ns: 76203.5
verify-cyc-median: 204380.0
verify-cyc-mean: 204654.0
verify-persec: 13147.9
size-key-bits: 10496
size-pubkey-bytes: 1312
size-privkey-bytes: 2560
size-signature-bytes: 2420
