openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-DSA-44
keygen-iters: 1000
keygen-wall-median-ns: 69805.0
keygen-wall-mean-ns: 75560.3
keygen-wall-std-ns: 20924.4
keygen-wall-p95-ns: 139498.0
keygen-wall-p99-ns: 143647.0
keygen-wall-ci95lo-ns: 74263.3
keygen-wall-ci95hi-ns: 76857.2
keygen-cyc-median: 187572.0
keygen-cyc-mean: 203023.5
keygen-persec: 14325.6
sign-iters: 1000
sign-wall-median-ns: 284192.0
sign-wall-mean-ns: 371573.7
sign-wall-std-ns: 262697.7
sign-wall-p95-ns: 832969.0
sign-wall-p99-ns: 1376508.0
sign-wall-ci95lo-ns: 355291.5
sign-wall-ci95hi-ns: 387855.9
sign-cyc-median: 763852.0
sign-cyc-mean: 998728.3
sign-persec: 3518.7
verify-iters: 1000
verify-wall-median-ns: 75952.0
verify-wall-mean-ns: 76033.7
verify-wall-std-ns: 511.5
verify-wall-p95-ns: 77179.0
verify-wall-p99-ns: 77564.0
verify-wall-ci95lo-ns: 76002.0
verify-wall-ci95hi-ns: 76065.4
verify-cyc-median: 204098.0
verify-cyc-mean: 204317.2
verify-persec: 13166.2
size-key-bits: 10496
size-pubkey-bytes: 1312
size-privkey-bytes: 2560
size-signature-bytes: 2420
