openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-DSA-44
keygen-iters: 1000
keygen-wall-median-ns: 69942.0
keygen-wall-mean-ns: 70223.0
keygen-wall-std-ns: 1392.4
keygen-wall-p95-ns: 72907.0
keygen-wall-p99-ns: 74365.0
keygen-wall-ci95lo-ns: 70136.7
keygen-wall-ci95hi-ns: 70309.3
keygen-cyc-median: 187938.0
keygen-cyc-mean: 188692.9
keygen-persec: 14297.6
sign-iters: 1000
sign-wall-median-ns: 285899.0
sign-wall-mean-ns: 373557.7
sign-wall-std-ns: 238969.2
sign-wall-p95-ns: 832148.0
sign-wall-p99-ns: 1171590.0
sign-wall-ci95lo-ns: 358746.2
sign-wall-ci95hi-ns: 388369.1
sign-cyc-median: 768330.0
sign-cyc-mean: 1004062.8
sign-persec: 3497.7
verify-iters: 1000
verify-wall-median-ns: 75855.0
verify-wall-mean-ns: 76089.0
verify-wall-std-ns: 1468.3
verify-wall-p95-ns: 77322.0
verify-wall-p99-ns: 79816.0
verify-wall-ci95lo-ns: 75998.0
verify-wall-ci95hi-ns: 76180.1
verify-cyc-median: 203834.0
verify-cyc-mean: 204462.2
verify-persec: 13183.0
size-key-bits: 10496
size-pubkey-bytes: 1312
size-privkey-bytes: 2560
size-signature-bytes: 2420
