openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdsa-P-256
keygen-iters: 1000
keygen-wall-median-ns: 92481.0
keygen-wall-mean-ns: 92859.7
keygen-wall-std-ns: 2927.9
keygen-wall-p95-ns: 93166.0
keygen-wall-p99-ns: 104593.0
keygen-wall-ci95lo-ns: 92678.2
keygen-wall-ci95hi-ns: 93041.2
keygen-cyc-median: 4990.0
keygen-cyc-mean: 5009.8
keygen-persec: 10813.0
sign-iters: 1000
sign-wall-median-ns: 118019.0
sign-wall-mean-ns: 118430.7
sign-wall-std-ns: 1999.3
sign-wall-p95-ns: 119074.0
sign-wall-p99-ns: 129037.0
sign-wall-ci95lo-ns: 118306.8
sign-wall-ci95hi-ns: 118554.6
sign-cyc-median: 6367.0
sign-cyc-mean: 6388.9
sign-persec: 8473.2
verify-iters: 1000
verify-wall-median-ns: 345463.0
verify-wall-mean-ns: 346607.0
verify-wall-std-ns: 4865.3
verify-wall-p95-ns: 355278.0
verify-wall-p99-ns: 356704.0
verify-wall-ci95lo-ns: 346305.4
verify-wall-ci95hi-ns: 346908.6
verify-cyc-median: 18651.0
verify-cyc-mean: 18711.4
verify-persec: 2894.7
size-key-bits: 256
size-pubkey-bytes: 65
size-signature-max-bytes: 72
