openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdsa-P-256
keygen-iters: 1000
keygen-wall-median-ns: 92574.0
keygen-wall-mean-ns: 93090.1
keygen-wall-std-ns: 3770.1
keygen-wall-p95-ns: 93648.0
keygen-wall-p99-ns: 105111.0
keygen-wall-ci95lo-ns: 92856.4
keygen-wall-ci95hi-ns: 93323.8
keygen-cyc-median: 4994.0
keygen-cyc-mean: 5022.1
keygen-persec: 10802.2
sign-iters: 1000
sign-wall-median-ns: 118019.0
sign-wall-mean-ns: 118438.0
sign-wall-std-ns: 2733.9
sign-wall-p95-ns: 118945.0
sign-wall-p99-ns: 128388.0
sign-wall-ci95lo-ns: 118268.5
sign-wall-ci95hi-ns: 118607.4
sign-cyc-median: 6367.0
sign-cyc-mean: 6389.4
sign-persec: 8473.2
verify-iters: 1000
verify-wall-median-ns: 345611.0
verify-wall-mean-ns: 346798.7
verify-wall-std-ns: 3974.8
verify-wall-p95-ns: 355389.0
verify-wall-p99-ns: 360259.0
verify-wall-ci95lo-ns: 346552.4
verify-wall-ci95hi-ns: 347045.1
verify-cyc-median: 18658.0
verify-cyc-mean: 18721.9
verify-persec: 2893.4
size-key-bits: 256
size-pubkey-bytes: 65
size-signature-max-bytes: 72
