openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdsa-P-256
keygen-iters: 1000
keygen-wall-median-ns: 92314.0
keygen-wall-mean-ns: 92774.0
keygen-wall-std-ns: 4874.1
keygen-wall-p95-ns: 93222.0
keygen-wall-p99-ns: 103982.0
keygen-wall-ci95lo-ns: 92471.9
keygen-wall-ci95hi-ns: 93076.1
keygen-cyc-median: 4980.0
keygen-cyc-mean: 5004.9
keygen-persec: 10832.6
sign-iters: 1000
sign-wall-median-ns: 118000.0
sign-wall-mean-ns: 118373.8
sign-wall-std-ns: 1950.5
sign-wall-p95-ns: 119056.0
sign-wall-p99-ns: 128333.0
sign-wall-ci95lo-ns: 118252.9
sign-wall-ci95hi-ns: 118494.7
sign-cyc-median: 6367.0
sign-cyc-mean: 6386.2
sign-persec: 8474.6
verify-iters: 1000
verify-wall-median-ns: 345685.0
verify-wall-mean-ns: 346788.2
verify-wall-std-ns: 4782.6
verify-wall-p95-ns: 355389.0
verify-wall-p99-ns: 356278.0
verify-wall-ci95lo-ns: 346491.7
verify-wall-ci95hi-ns: 347084.6
verify-cyc-median: 18662.0
verify-cyc-mean: 18721.2
verify-persec: 2892.8
size-key-bits: 256
size-pubkey-bytes: 65
size-signature-max-bytes: 72
