openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdh-P-384
keygen-iters: 1000
keygen-wall-median-ns: 467098.0
keygen-wall-mean-ns: 467653.7
keygen-wall-std-ns: 3463.5
keygen-wall-p95-ns: 472805.0
keygen-wall-p99-ns: 482473.0
keygen-wall-ci95lo-ns: 467439.0
keygen-wall-ci95hi-ns: 467868.4
keygen-cyc-median: 1255502.0
keygen-cyc-mean: 1256992.3
keygen-persec: 2140.9
derive-iters: 1000
derive-wall-median-ns: 457338.0
derive-wall-mean-ns: 457793.2
derive-wall-std-ns: 2899.1
derive-wall-p95-ns: 462122.0
derive-wall-p99-ns: 468658.0
derive-wall-ci95lo-ns: 457613.5
derive-wall-ci95hi-ns: 457972.9
derive-cyc-median: 1229264.0
derive-cyc-mean: 1230491.2
derive-persec: 2186.6
size-key-bits: 384
size-pubkey-bytes: 97
