openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdh-P-256
keygen-iters: 1000
keygen-wall-median-ns: 12146.0
keygen-wall-mean-ns: 14746.4
keygen-wall-std-ns: 6235.1
keygen-wall-p95-ns: 25077.0
keygen-wall-p99-ns: 26164.0
keygen-wall-ci95lo-ns: 14360.0
keygen-wall-ci95hi-ns: 15132.9
keygen-cyc-median: 32578.0
keygen-cyc-mean: 39524.9
keygen-persec: 82331.6
derive-iters: 1000
derive-wall-median-ns: 40394.0
derive-wall-mean-ns: 40449.0
derive-wall-std-ns: 452.4
derive-wall-p95-ns: 40640.0
derive-wall-p99-ns: 42072.0
derive-wall-ci95lo-ns: 40421.0
derive-wall-ci95hi-ns: 40477.1
derive-cyc-median: 108520.0
derive-cyc-mean: 108667.6
derive-persec: 24756.2
size-key-bits: 256
size-pubkey-bytes: 65
