openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdh-P-256
keygen-iters: 1000
keygen-wall-median-ns: 12208.0
keygen-wall-mean-ns: 15138.9
keygen-wall-std-ns: 6116.6
keygen-wall-p95-ns: 25306.0
keygen-wall-p99-ns: 26200.0
keygen-wall-ci95lo-ns: 14759.8
keygen-wall-ci95hi-ns: 15518.0
keygen-cyc-median: 32746.0
keygen-cyc-mean: 40576.7
keygen-persec: 81913.5
derive-iters: 1000
derive-wall-median-ns: 40357.0
derive-wall-mean-ns: 40466.9
derive-wall-std-ns: 1463.0
derive-wall-p95-ns: 40594.0
derive-wall-p99-ns: 41881.0
derive-wall-ci95lo-ns: 40376.2
derive-wall-ci95hi-ns: 40557.5
derive-cyc-median: 108424.0
derive-cyc-mean: 108718.6
derive-persec: 24778.8
size-key-bits: 256
size-pubkey-bytes: 65
