openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdh-P-256
keygen-iters: 1000
keygen-wall-median-ns: 12108.0
keygen-wall-mean-ns: 14786.3
keygen-wall-std-ns: 5869.9
keygen-wall-p95-ns: 25212.0
keygen-wall-p99-ns: 26542.0
keygen-wall-ci95lo-ns: 14422.5
keygen-wall-ci95hi-ns: 15150.1
keygen-cyc-median: 32476.0
keygen-cyc-mean: 39630.1
keygen-persec: 82590.0
derive-iters: 1000
derive-wall-median-ns: 40377.0
derive-wall-mean-ns: 40561.4
derive-wall-std-ns: 722.2
derive-wall-p95-ns: 42202.0
derive-wall-p99-ns: 43449.0
derive-wall-ci95lo-ns: 40516.6
derive-wall-ci95hi-ns: 40606.2
derive-cyc-median: 108478.0
derive-cyc-mean: 108972.4
derive-persec: 24766.6
size-key-bits: 256
size-pubkey-bytes: 65
