openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdsa-P-384
keygen-iters: 1000
keygen-wall-median-ns: 469676.0
keygen-wall-mean-ns: 470072.2
keygen-wall-std-ns: 3795.0
keygen-wall-p95-ns: 475179.0
keygen-wall-p99-ns: 479470.0
keygen-wall-ci95lo-ns: 469837.0
keygen-wall-ci95hi-ns: 470307.4
keygen-cyc-median: 1262426.0
keygen-cyc-mean: 1263493.1
keygen-persec: 2129.1
sign-iters: 1000
sign-wall-median-ns: 483189.0
sign-wall-mean-ns: 483558.5
sign-wall-std-ns: 2395.6
sign-wall-p95-ns: 487606.0
sign-wall-p99-ns: 491902.0
sign-wall-ci95lo-ns: 483410.0
sign-wall-ci95hi-ns: 483707.0
sign-cyc-median: 1298760.0
sign-cyc-mean: 1299748.6
sign-persec: 2069.6
verify-iters: 1000
verify-wall-median-ns: 414766.0
verify-wall-mean-ns: 415120.2
verify-wall-std-ns: 2757.6
verify-wall-p95-ns: 418819.0
verify-wall-p99-ns: 426778.0
verify-wall-ci95lo-ns: 414949.2
verify-wall-ci95hi-ns: 415291.1
verify-cyc-median: 1114796.0
verify-cyc-mean: 1115783.6
verify-persec: 2411.0
size-key-bits: 384
size-pubkey-bytes: 97
size-signature-max-bytes: 104
