openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdsa-P-384
keygen-iters: 1000
keygen-wall-median-ns: 467781.0
keygen-wall-mean-ns: 468444.6
keygen-wall-std-ns: 3454.2
keygen-wall-p95-ns: 473714.0
keygen-wall-p99-ns: 479269.0
keygen-wall-ci95lo-ns: 468230.5
keygen-wall-ci95hi-ns: 468658.7
keygen-cyc-median: 1257342.0
keygen-cyc-mean: 1259121.6
keygen-persec: 2137.8
sign-iters: 1000
sign-wall-median-ns: 481198.0
sign-wall-mean-ns: 481588.8
sign-wall-std-ns: 3055.2
sign-wall-p95-ns: 485853.0
sign-wall-p99-ns: 491086.0
sign-wall-ci95lo-ns: 481399.5
sign-wall-ci95hi-ns: 481778.2
sign-cyc-median: 1293406.0
sign-cyc-mean: 1294443.8
sign-persec: 2078.1
verify-iters: 1000
verify-wall-median-ns: 413793.0
verify-wall-mean-ns: 414140.9
verify-wall-std-ns: 2670.0
verify-wall-p95-ns: 417204.0
verify-wall-p99-ns: 425435.0
verify-wall-ci95lo-ns: 413975.4
verify-wall-ci95hi-ns: 414306.4
verify-cyc-median: 1112218.0
verify-cyc-mean: 1113152.3
verify-persec: 2416.7
size-key-bits: 384
size-pubkey-bytes: 97
size-signature-max-bytes: 104
