openssl: OpenSSL 3.6.2 7 Apr 2026
algo: rsa-15360
key-size: 15360
keygen-iters: 5
keygen-wall-median-ns: 713828131223.0
keygen-wall-mean-ns: 807926356792.6
keygen-wall-std-ns: 733929610203.7
keygen-wall-p95-ns: 1873083603939.0
keygen-wall-p99-ns: 1873083603939.0
keygen-wall-ci95lo-ns: 164608689139.3
keygen-wall-ci95hi-ns: 1451244024445.9
keygen-cyc-median: 38546719088.0
keygen-cyc-mean: 43628023272.8
keygen-persec: 0.0
pss-sign-iters: 100
pss-sign-wall-median-ns: 1600988610.0
pss-sign-wall-mean-ns: 1602896893.2
pss-sign-wall-std-ns: 10878866.5
pss-sign-wall-p95-ns: 1601116851.0
pss-sign-wall-p99-ns: 1664437110.0
pss-sign-wall-ci95lo-ns: 1600764635.4
pss-sign-wall-ci95hi-ns: 1605029151.0
pss-sign-cyc-median: 86453373.0
pss-sign-cyc-mean: 86556406.8
pss-sign-persec: 0.6
pss-verify-iters: 100
pss-verify-wall-median-ns: 6557296.0
pss-verify-wall-mean-ns: 6556097.9
pss-verify-wall-std-ns: 3889.2
pss-verify-wall-p95-ns: 6562574.0
pss-verify-wall-p99-ns: 6563944.0
pss-verify-wall-ci95lo-ns: 6555335.6
pss-verify-wall-ci95hi-ns: 6556860.2
pss-verify-cyc-median: 354088.0
pss-verify-cyc-mean: 354023.5
pss-verify-persec: 152.5
oaep-encrypt-iters: 100
oaep-encrypt-wall-median-ns: 6579963.0
oaep-encrypt-wall-mean-ns: 6578911.9
oaep-encrypt-wall-std-ns: 4433.6
oaep-encrypt-wall-p95-ns: 6585240.0
oaep-encrypt-wall-p99-ns: 6586259.0
oaep-encrypt-wall-ci95lo-ns: 6578042.9
oaep-encrypt-wall-ci95hi-ns: 6579780.9
oaep-encrypt-cyc-median: 355312.0
oaep-encrypt-cyc-mean: 355256.3
oaep-encrypt-persec: 152.0
oaep-decrypt-iters: 100
oaep-decrypt-wall-median-ns: 1601503796.0
oaep-decrypt-wall-mean-ns: 1603326933.2
oaep-decrypt-wall-std-ns: 10392503.6
oaep-decrypt-wall-p95-ns: 1601607702.0
oaep-decrypt-wall-p99-ns: 1662068091.0
oaep-decrypt-wall-ci95lo-ns: 1601290002.5
oaep-decrypt-wall-ci95hi-ns: 1605363863.9
oaep-decrypt-cyc-median: 86481192.0
oaep-decrypt-cyc-mean: 86579641.0
oaep-decrypt-persec: 0.6
size-key-bits: 15360
size-signature-bytes: 1920
