openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-KEM-1024
keygen-iters: 1000
keygen-wall-median-ns: 220203.0
keygen-wall-mean-ns: 221225.2
keygen-wall-std-ns: 5260.9
keygen-wall-p95-ns: 230463.0
keygen-wall-p99-ns: 236815.0
keygen-wall-ci95lo-ns: 220899.1
keygen-wall-ci95hi-ns: 221551.3
keygen-cyc-median: 11884.0
keygen-cyc-mean: 11939.4
keygen-persec: 4541.3
encap-iters: 1000
encap-wall-median-ns: 109389.0
encap-wall-mean-ns: 110078.3
encap-wall-std-ns: 7119.5
encap-wall-p95-ns: 110426.0
encap-wall-p99-ns: 122352.0
encap-wall-ci95lo-ns: 109637.0
encap-wall-ci95hi-ns: 110519.6
encap-cyc-median: 5903.0
encap-cyc-mean: 5939.9
encap-persec: 9141.7
decap-iters: 1000
decap-wall-median-ns: 165815.0
decap-wall-mean-ns: 166251.0
decap-wall-std-ns: 2037.4
decap-wall-p95-ns: 166611.0
decap-wall-p99-ns: 175741.0
decap-wall-ci95lo-ns: 166124.8
decap-wall-ci95hi-ns: 166377.3
decap-cyc-median: 8951.0
decap-cyc-mean: 8973.8
decap-persec: 6030.8
size-key-bits: 1024
size-pubkey-bytes: 1568
size-privkey-bytes: 3168
size-ciphertext-bytes: 1568
size-shared-secret-bytes: 32
