openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-KEM-1024
keygen-iters: 1000
keygen-wall-median-ns: 220426.0
keygen-wall-mean-ns: 221733.3
keygen-wall-std-ns: 9624.2
keygen-wall-p95-ns: 230240.0
keygen-wall-p99-ns: 236759.0
keygen-wall-ci95lo-ns: 221136.8
keygen-wall-ci95hi-ns: 222329.8
keygen-cyc-median: 11897.0
keygen-cyc-mean: 11967.6
keygen-persec: 4536.7
encap-iters: 1000
encap-wall-median-ns: 109204.0
encap-wall-mean-ns: 109509.7
encap-wall-std-ns: 1651.8
encap-wall-p95-ns: 110148.0
encap-wall-p99-ns: 119111.0
encap-wall-ci95lo-ns: 109407.3
encap-wall-ci95hi-ns: 109612.1
encap-cyc-median: 5894.0
encap-cyc-mean: 5910.6
encap-persec: 9157.2
decap-iters: 1000
decap-wall-median-ns: 165463.0
decap-wall-mean-ns: 166011.7
decap-wall-std-ns: 4310.8
decap-wall-p95-ns: 167166.0
decap-wall-p99-ns: 175297.0
decap-wall-ci95lo-ns: 165744.5
decap-wall-ci95hi-ns: 166278.9
decap-cyc-median: 8932.0
decap-cyc-mean: 8961.6
decap-persec: 6043.6
size-key-bits: 1024
size-pubkey-bytes: 1568
size-privkey-bytes: 3168
size-ciphertext-bytes: 1568
size-shared-secret-bytes: 32
