openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-KEM-512
keygen-iters: 1000
keygen-wall-median-ns: 104648.0
keygen-wall-mean-ns: 105108.8
keygen-wall-std-ns: 3262.3
keygen-wall-p95-ns: 106296.0
keygen-wall-p99-ns: 116111.0
keygen-wall-ci95lo-ns: 104906.6
keygen-wall-ci95hi-ns: 105311.0
keygen-cyc-median: 5644.0
keygen-cyc-mean: 5669.8
keygen-persec: 9555.8
encap-iters: 1000
encap-wall-median-ns: 64351.0
encap-wall-mean-ns: 64529.2
encap-wall-std-ns: 1245.2
encap-wall-p95-ns: 64482.0
encap-wall-p99-ns: 74129.0
encap-wall-ci95lo-ns: 64452.0
encap-wall-ci95hi-ns: 64606.4
encap-cyc-median: 3470.0
encap-cyc-mean: 3480.2
encap-persec: 15539.8
decap-iters: 1000
decap-wall-median-ns: 92741.0
decap-wall-mean-ns: 93004.5
decap-wall-std-ns: 1582.1
decap-wall-p95-ns: 92926.0
decap-wall-p99-ns: 102389.0
decap-wall-ci95lo-ns: 92906.4
decap-wall-ci95hi-ns: 93102.5
decap-cyc-median: 5004.0
decap-cyc-mean: 5017.9
decap-persec: 10782.7
size-key-bits: 512
size-pubkey-bytes: 800
size-privkey-bytes: 1632
size-ciphertext-bytes: 768
size-shared-secret-bytes: 32
