openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-KEM-512
keygen-iters: 1000
keygen-wall-median-ns: 104592.0
keygen-wall-mean-ns: 105152.5
keygen-wall-std-ns: 5761.8
keygen-wall-p95-ns: 106204.0
keygen-wall-p99-ns: 116000.0
keygen-wall-ci95lo-ns: 104795.4
keygen-wall-ci95hi-ns: 105509.6
keygen-cyc-median: 5640.0
keygen-cyc-mean: 5670.6
keygen-persec: 9561.0
encap-iters: 1000
encap-wall-median-ns: 64426.0
encap-wall-mean-ns: 64630.1
encap-wall-std-ns: 1244.5
encap-wall-p95-ns: 64685.0
encap-wall-p99-ns: 73981.0
encap-wall-ci95lo-ns: 64553.0
encap-wall-ci95hi-ns: 64707.2
encap-cyc-median: 3475.0
encap-cyc-mean: 3485.2
encap-persec: 15521.7
decap-iters: 1000
decap-wall-median-ns: 93000.0
decap-wall-mean-ns: 93431.3
decap-wall-std-ns: 4258.0
decap-wall-p95-ns: 93278.0
decap-wall-p99-ns: 103111.0
decap-wall-ci95lo-ns: 93167.4
decap-wall-ci95hi-ns: 93695.2
decap-cyc-median: 5018.0
decap-cyc-mean: 5041.8
decap-persec: 10752.7
size-key-bits: 512
size-pubkey-bytes: 800
size-privkey-bytes: 1632
size-ciphertext-bytes: 768
size-shared-secret-bytes: 32
