openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-KEM-512
keygen-iters: 1000
keygen-wall-median-ns: 104408.0
keygen-wall-mean-ns: 104863.8
keygen-wall-std-ns: 2925.4
keygen-wall-p95-ns: 106129.0
keygen-wall-p99-ns: 115926.0
keygen-wall-ci95lo-ns: 104682.5
keygen-wall-ci95hi-ns: 105045.1
keygen-cyc-median: 5632.0
keygen-cyc-mean: 5656.7
keygen-persec: 9577.8
encap-iters: 1000
encap-wall-median-ns: 64351.0
encap-wall-mean-ns: 65283.9
encap-wall-std-ns: 8454.7
encap-wall-p95-ns: 65500.0
encap-wall-p99-ns: 74926.0
encap-wall-ci95lo-ns: 64759.9
encap-wall-ci95hi-ns: 65808.0
encap-cyc-median: 3471.0
encap-cyc-mean: 3521.7
encap-persec: 15539.8
decap-iters: 1000
decap-wall-median-ns: 92851.0
decap-wall-mean-ns: 96692.4
decap-wall-std-ns: 20112.0
decap-wall-p95-ns: 102982.0
decap-wall-p99-ns: 186760.0
decap-wall-ci95lo-ns: 95445.8
decap-wall-ci95hi-ns: 97938.9
decap-cyc-median: 5010.0
decap-cyc-mean: 5217.8
decap-persec: 10769.9
size-key-bits: 512
size-pubkey-bytes: 800
size-privkey-bytes: 1632
size-ciphertext-bytes: 768
size-shared-secret-bytes: 32
