openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-KEM-512
keygen-iters: 1000
keygen-wall-median-ns: 104407.0
keygen-wall-mean-ns: 104961.3
keygen-wall-std-ns: 3549.7
keygen-wall-p95-ns: 106149.0
keygen-wall-p99-ns: 117871.0
keygen-wall-ci95lo-ns: 104741.3
keygen-wall-ci95hi-ns: 105181.3
keygen-cyc-median: 5631.0
keygen-cyc-mean: 5661.1
keygen-persec: 9577.9
encap-iters: 1000
encap-wall-median-ns: 64334.0
encap-wall-mean-ns: 64538.9
encap-wall-std-ns: 1297.9
encap-wall-p95-ns: 64574.0
encap-wall-p99-ns: 73870.0
encap-wall-ci95lo-ns: 64458.5
encap-wall-ci95hi-ns: 64619.4
encap-cyc-median: 3470.0
encap-cyc-mean: 3480.8
encap-persec: 15543.9
decap-iters: 1000
decap-wall-median-ns: 92537.0
decap-wall-mean-ns: 92816.1
decap-wall-std-ns: 1512.8
decap-wall-p95-ns: 92815.0
decap-wall-p99-ns: 102055.0
decap-wall-ci95lo-ns: 92722.3
decap-wall-ci95hi-ns: 92909.9
decap-cyc-median: 4993.0
decap-cyc-mean: 5008.6
decap-persec: 10806.5
size-key-bits: 512
size-pubkey-bytes: 800
size-privkey-bytes: 1632
size-ciphertext-bytes: 768
size-shared-secret-bytes: 32
