openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-DSA-44
keygen-iters: 1000
keygen-wall-median-ns: 460000.0
keygen-wall-mean-ns: 465920.9
keygen-wall-std-ns: 25242.9
keygen-wall-p95-ns: 506500.0
keygen-wall-p99-ns: 605093.0
keygen-wall-ci95lo-ns: 464356.3
keygen-wall-ci95hi-ns: 467485.4
keygen-cyc-median: 24834.0
keygen-cyc-mean: 25153.9
keygen-persec: 2173.9
sign-iters: 1000
sign-wall-median-ns: 2016074.0
sign-wall-mean-ns: 2733754.1
sign-wall-std-ns: 1822791.9
sign-wall-p95-ns: 6463833.0
sign-wall-p99-ns: 9267370.0
sign-wall-ci95lo-ns: 2620776.3
sign-wall-ci95hi-ns: 2846731.9
sign-cyc-median: 108861.0
sign-cyc-mean: 147616.9
sign-persec: 496.0
verify-iters: 1000
verify-wall-median-ns: 523778.0
verify-wall-mean-ns: 530438.7
verify-wall-std-ns: 25406.7
verify-wall-p95-ns: 546648.0
verify-wall-p99-ns: 674445.0
verify-wall-ci95lo-ns: 528864.0
verify-wall-ci95hi-ns: 532013.4
verify-cyc-median: 28278.0
verify-cyc-mean: 28637.2
verify-persec: 1909.2
size-key-bits: 10496
size-pubkey-bytes: 1312
size-privkey-bytes: 2560
size-signature-bytes: 2420
