openssl: OpenSSL 3.6.2 7 Apr 2026
algo: rsa-7680
key-size: 7680
keygen-iters: 100
keygen-wall-median-ns: 3582247793.0
keygen-wall-mean-ns: 4953763477.3
keygen-wall-std-ns: 3632038835.1
keygen-wall-p95-ns: 11356339211.0
keygen-wall-p99-ns: 13683894433.0
keygen-wall-ci95lo-ns: 4241883865.6
keygen-wall-ci95hi-ns: 5665643089.0
keygen-cyc-median: 9629081026.0
keygen-cyc-mean: 13315715398.0
keygen-persec: 0.3
pss-sign-iters: 100
pss-sign-wall-median-ns: 28089177.0
pss-sign-wall-mean-ns: 28142812.2
pss-sign-wall-std-ns: 374295.5
pss-sign-wall-p95-ns: 28209053.0
pss-sign-wall-p99-ns: 30220160.0
pss-sign-wall-ci95lo-ns: 28069450.2
pss-sign-wall-ci95hi-ns: 28216174.1
pss-sign-cyc-median: 75503642.0
pss-sign-cyc-mean: 75647805.9
pss-sign-persec: 35.6
pss-verify-iters: 100
pss-verify-wall-median-ns: 169905.0
pss-verify-wall-mean-ns: 170138.3
pss-verify-wall-std-ns: 1018.7
pss-verify-wall-p95-ns: 171550.0
pss-verify-wall-p99-ns: 172724.0
pss-verify-wall-ci95lo-ns: 169938.6
pss-verify-wall-ci95hi-ns: 170338.0
pss-verify-cyc-median: 456618.0
pss-verify-cyc-mean: 457272.2
pss-verify-persec: 5885.6
oaep-encrypt-iters: 100
oaep-encrypt-wall-median-ns: 170762.0
oaep-encrypt-wall-mean-ns: 170829.2
oaep-encrypt-wall-std-ns: 881.2
oaep-encrypt-wall-p95-ns: 172293.0
oaep-encrypt-wall-p99-ns: 172902.0
oaep-encrypt-wall-ci95lo-ns: 170656.5
oaep-encrypt-wall-ci95hi-ns: 171001.9
oaep-encrypt-cyc-median: 458954.0
oaep-encrypt-cyc-mean: 459132.9
oaep-encrypt-persec: 5856.1
oaep-decrypt-iters: 100
oaep-decrypt-wall-median-ns: 28079661.0
oaep-decrypt-wall-mean-ns: 28144118.1
oaep-decrypt-wall-std-ns: 375807.2
oaep-decrypt-wall-p95-ns: 28221374.0
oaep-decrypt-wall-p99-ns: 30241056.0
oaep-decrypt-wall-ci95lo-ns: 28070459.9
oaep-decrypt-wall-ci95hi-ns: 28217776.3
oaep-decrypt-cyc-median: 75478064.0
oaep-decrypt-cyc-mean: 75651319.9
oaep-decrypt-persec: 35.6
size-key-bits: 7680
size-signature-bytes: 960
