openssl: OpenSSL 3.6.2 7 Apr 2026
algo: rsa-7680
key-size: 7680
keygen-iters: 100
keygen-wall-median-ns: 3940501247.0
keygen-wall-mean-ns: 4476048719.2
keygen-wall-std-ns: 2735365228.5
keygen-wall-p95-ns: 10333167353.0
keygen-wall-p99-ns: 11650563234.0
keygen-wall-ci95lo-ns: 3939917134.4
keygen-wall-ci95hi-ns: 5012180304.0
keygen-cyc-median: 10592066186.0
keygen-cyc-mean: 12031618332.0
keygen-persec: 0.3
pss-sign-iters: 100
pss-sign-wall-median-ns: 27992732.0
pss-sign-wall-mean-ns: 28043428.8
pss-sign-wall-std-ns: 363185.5
pss-sign-wall-p95-ns: 28138775.0
pss-sign-wall-p99-ns: 30052239.0
pss-sign-wall-ci95lo-ns: 27972244.5
pss-sign-wall-ci95hi-ns: 28114613.2
pss-sign-cyc-median: 75244394.0
pss-sign-cyc-mean: 75380667.0
pss-sign-persec: 35.7
pss-verify-iters: 100
pss-verify-wall-median-ns: 170250.0
pss-verify-wall-mean-ns: 170271.1
pss-verify-wall-std-ns: 854.6
pss-verify-wall-p95-ns: 171596.0
pss-verify-wall-p99-ns: 171948.0
pss-verify-wall-ci95lo-ns: 170103.6
pss-verify-wall-ci95hi-ns: 170438.6
pss-verify-cyc-median: 457580.0
pss-verify-cyc-mean: 457630.2
pss-verify-persec: 5873.7
oaep-encrypt-iters: 100
oaep-encrypt-wall-median-ns: 170864.0
oaep-encrypt-wall-mean-ns: 170975.6
oaep-encrypt-wall-std-ns: 811.9
oaep-encrypt-wall-p95-ns: 172204.0
oaep-encrypt-wall-p99-ns: 173195.0
oaep-encrypt-wall-ci95lo-ns: 170816.5
oaep-encrypt-wall-ci95hi-ns: 171134.7
oaep-encrypt-cyc-median: 459228.0
oaep-encrypt-cyc-mean: 459526.9
oaep-encrypt-persec: 5852.6
oaep-decrypt-iters: 100
oaep-decrypt-wall-median-ns: 28036756.0
oaep-decrypt-wall-mean-ns: 28102574.1
oaep-decrypt-wall-std-ns: 355429.4
oaep-decrypt-wall-p95-ns: 28218839.0
oaep-decrypt-wall-p99-ns: 30019960.0
oaep-decrypt-wall-ci95lo-ns: 28032909.9
oaep-decrypt-wall-ci95hi-ns: 28172238.3
oaep-decrypt-cyc-median: 75362728.0
oaep-decrypt-cyc-mean: 75539650.7
oaep-decrypt-persec: 35.7
size-key-bits: 7680
size-signature-bytes: 960
