openssl: OpenSSL 3.6.2 7 Apr 2026
algo: rsa-7680
key-size: 7680
keygen-iters: 100
keygen-wall-median-ns: 4575430806.0
keygen-wall-mean-ns: 5235495310.6
keygen-wall-std-ns: 3081831112.8
keygen-wall-p95-ns: 10759198556.0
keygen-wall-p99-ns: 13139918831.0
keygen-wall-ci95lo-ns: 4631456412.5
keygen-wall-ci95hi-ns: 5839534208.7
keygen-cyc-median: 12298755446.0
keygen-cyc-mean: 14073010513.9
keygen-persec: 0.2
pss-sign-iters: 100
pss-sign-wall-median-ns: 28114072.0
pss-sign-wall-mean-ns: 28165240.1
pss-sign-wall-std-ns: 365708.0
pss-sign-wall-p95-ns: 28232451.0
pss-sign-wall-p99-ns: 30154684.0
pss-sign-wall-ci95lo-ns: 28093561.3
pss-sign-wall-ci95hi-ns: 28236918.8
pss-sign-cyc-median: 75570556.0
pss-sign-cyc-mean: 75708087.7
pss-sign-persec: 35.6
pss-verify-iters: 100
pss-verify-wall-median-ns: 169932.0
pss-verify-wall-mean-ns: 170146.9
pss-verify-wall-std-ns: 978.0
pss-verify-wall-p95-ns: 172233.0
pss-verify-wall-p99-ns: 172950.0
pss-verify-wall-ci95lo-ns: 169955.2
pss-verify-wall-ci95hi-ns: 170338.5
pss-verify-cyc-median: 456698.0
pss-verify-cyc-mean: 457298.1
pss-verify-persec: 5884.7
oaep-encrypt-iters: 100
oaep-encrypt-wall-median-ns: 170931.0
oaep-encrypt-wall-mean-ns: 171200.1
oaep-encrypt-wall-std-ns: 1499.4
oaep-encrypt-wall-p95-ns: 173066.0
oaep-encrypt-wall-p99-ns: 178170.0
oaep-encrypt-wall-ci95lo-ns: 170906.3
oaep-encrypt-wall-ci95hi-ns: 171494.0
oaep-encrypt-cyc-median: 459404.0
oaep-encrypt-cyc-mean: 460129.1
oaep-encrypt-persec: 5850.3
oaep-decrypt-iters: 100
oaep-decrypt-wall-median-ns: 28129706.0
oaep-decrypt-wall-mean-ns: 28180928.9
oaep-decrypt-wall-std-ns: 371925.9
oaep-decrypt-wall-p95-ns: 28305910.0
oaep-decrypt-wall-p99-ns: 30205134.0
oaep-decrypt-wall-ci95lo-ns: 28108031.4
oaep-decrypt-wall-ci95hi-ns: 28253826.4
oaep-decrypt-cyc-median: 75612554.0
oaep-decrypt-cyc-mean: 75750258.8
oaep-decrypt-persec: 35.5
size-key-bits: 7680
size-signature-bytes: 960
