openssl: OpenSSL 3.6.2 7 Apr 2026
algo: rsa-7680
key-size: 7680
keygen-iters: 100
keygen-wall-median-ns: 4292646127.0
keygen-wall-mean-ns: 5102621350.9
keygen-wall-std-ns: 3829579245.7
keygen-wall-p95-ns: 11881964402.0
keygen-wall-p99-ns: 17338136780.0
keygen-wall-ci95lo-ns: 4352023818.7
keygen-wall-ci95hi-ns: 5853218883.0
keygen-cyc-median: 11538632054.0
keygen-cyc-mean: 13715845240.5
keygen-persec: 0.2
pss-sign-iters: 100
pss-sign-wall-median-ns: 28103992.0
pss-sign-wall-mean-ns: 28158639.6
pss-sign-wall-std-ns: 368429.0
pss-sign-wall-p95-ns: 28259564.0
pss-sign-wall-p99-ns: 30227133.0
pss-sign-wall-ci95lo-ns: 28086427.5
pss-sign-wall-ci95hi-ns: 28230851.6
pss-sign-cyc-median: 75543468.0
pss-sign-cyc-mean: 75690348.9
pss-sign-persec: 35.6
pss-verify-iters: 100
pss-verify-wall-median-ns: 170041.0
pss-verify-wall-mean-ns: 170198.3
pss-verify-wall-std-ns: 793.0
pss-verify-wall-p95-ns: 171521.0
pss-verify-wall-p99-ns: 172061.0
pss-verify-wall-ci95lo-ns: 170042.9
pss-verify-wall-ci95hi-ns: 170353.7
pss-verify-cyc-median: 457018.0
pss-verify-cyc-mean: 457436.6
pss-verify-persec: 5880.9
oaep-encrypt-iters: 100
oaep-encrypt-wall-median-ns: 170709.0
oaep-encrypt-wall-mean-ns: 170866.7
oaep-encrypt-wall-std-ns: 833.8
oaep-encrypt-wall-p95-ns: 172167.0
oaep-encrypt-wall-p99-ns: 173180.0
oaep-encrypt-wall-ci95lo-ns: 170703.3
oaep-encrypt-wall-ci95hi-ns: 171030.1
oaep-encrypt-cyc-median: 458802.0
oaep-encrypt-cyc-mean: 459231.7
oaep-encrypt-persec: 5857.9
oaep-decrypt-iters: 100
oaep-decrypt-wall-median-ns: 28093786.0
oaep-decrypt-wall-mean-ns: 28148585.8
oaep-decrypt-wall-std-ns: 363201.2
oaep-decrypt-wall-p95-ns: 28204694.0
oaep-decrypt-wall-p99-ns: 30118949.0
oaep-decrypt-wall-ci95lo-ns: 28077398.4
oaep-decrypt-wall-ci95hi-ns: 28219773.3
oaep-decrypt-cyc-median: 75516030.0
oaep-decrypt-cyc-mean: 75663332.3
oaep-decrypt-persec: 35.6
size-key-bits: 7680
size-signature-bytes: 960
