openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdsa-P-384
keygen-iters: 1000
keygen-wall-median-ns: 4018111.0
keygen-wall-mean-ns: 4022458.6
keygen-wall-std-ns: 14831.0
keygen-wall-p95-ns: 4049463.0
keygen-wall-p99-ns: 4068500.0
keygen-wall-ci95lo-ns: 4021539.4
keygen-wall-ci95hi-ns: 4023377.8
keygen-cyc-median: 216970.0
keygen-cyc-mean: 217205.2
keygen-persec: 248.9
sign-iters: 1000
sign-wall-median-ns: 4178371.0
sign-wall-mean-ns: 4179082.5
sign-wall-std-ns: 5296.3
sign-wall-p95-ns: 4187111.0
sign-wall-p99-ns: 4200111.0
sign-wall-ci95lo-ns: 4178754.3
sign-wall-ci95hi-ns: 4179410.8
sign-cyc-median: 225625.0
sign-cyc-mean: 225662.7
sign-persec: 239.3
verify-iters: 1000
verify-wall-median-ns: 3306278.0
verify-wall-mean-ns: 3306086.8
verify-wall-std-ns: 6154.0
verify-wall-p95-ns: 3314722.0
verify-wall-p99-ns: 3321056.0
verify-wall-ci95lo-ns: 3305705.3
verify-wall-ci95hi-ns: 3306468.2
verify-cyc-median: 178531.0
verify-cyc-mean: 178519.9
verify-persec: 302.5
size-key-bits: 384
size-pubkey-bytes: 97
size-signature-max-bytes: 104
