openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdsa-P-384
keygen-iters: 1000
keygen-wall-median-ns: 4011889.0
keygen-wall-mean-ns: 4021596.9
keygen-wall-std-ns: 60019.8
keygen-wall-p95-ns: 4027666.0
keygen-wall-p99-ns: 4291203.0
keygen-wall-ci95lo-ns: 4017876.9
keygen-wall-ci95hi-ns: 4025317.0
keygen-cyc-median: 216634.0
keygen-cyc-mean: 217158.1
keygen-persec: 249.3
sign-iters: 1000
sign-wall-median-ns: 4181241.0
sign-wall-mean-ns: 4195118.9
sign-wall-std-ns: 67306.6
sign-wall-p95-ns: 4208445.0
sign-wall-p99-ns: 4601704.0
sign-wall-ci95lo-ns: 4190947.2
sign-wall-ci95hi-ns: 4199290.6
sign-cyc-median: 225779.0
sign-cyc-mean: 226527.5
sign-persec: 239.2
verify-iters: 1000
verify-wall-median-ns: 3316444.0
verify-wall-mean-ns: 3326225.6
verify-wall-std-ns: 58050.9
verify-wall-p95-ns: 3344167.0
verify-wall-p99-ns: 3722778.0
verify-wall-ci95lo-ns: 3322627.6
verify-wall-ci95hi-ns: 3329823.6
verify-cyc-median: 179081.0
verify-cyc-mean: 179607.6
verify-persec: 301.5
size-key-bits: 384
size-pubkey-bytes: 97
size-signature-max-bytes: 104
