openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdsa-P-384
keygen-iters: 1000
keygen-wall-median-ns: 4010519.0
keygen-wall-mean-ns: 4011441.2
keygen-wall-std-ns: 7781.1
keygen-wall-p95-ns: 4016426.0
keygen-wall-p99-ns: 4033926.0
keygen-wall-ci95lo-ns: 4010959.0
keygen-wall-ci95hi-ns: 4011923.5
keygen-cyc-median: 216560.0
keygen-cyc-mean: 216609.9
keygen-persec: 249.3
sign-iters: 1000
sign-wall-median-ns: 4183445.0
sign-wall-mean-ns: 4185756.4
sign-wall-std-ns: 12423.9
sign-wall-p95-ns: 4203871.0
sign-wall-p99-ns: 4213722.0
sign-wall-ci95lo-ns: 4184986.4
sign-wall-ci95hi-ns: 4186526.4
sign-cyc-median: 225899.0
sign-cyc-mean: 226022.5
sign-persec: 239.0
verify-iters: 1000
verify-wall-median-ns: 3305704.0
verify-wall-mean-ns: 3306368.0
verify-wall-std-ns: 22774.7
verify-wall-p95-ns: 3317259.0
verify-wall-p99-ns: 3329778.0
verify-wall-ci95lo-ns: 3304956.5
verify-wall-ci95hi-ns: 3307779.6
verify-cyc-median: 178500.0
verify-cyc-mean: 178535.1
verify-persec: 302.5
size-key-bits: 384
size-pubkey-bytes: 97
size-signature-max-bytes: 104
