openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdsa-P-384
keygen-iters: 1000
keygen-wall-median-ns: 4011111.0
keygen-wall-mean-ns: 4013291.3
keygen-wall-std-ns: 8436.1
keygen-wall-p95-ns: 4030426.0
keygen-wall-p99-ns: 4047500.0
keygen-wall-ci95lo-ns: 4012768.5
keygen-wall-ci95hi-ns: 4013814.2
keygen-cyc-median: 216593.0
keygen-cyc-mean: 216710.8
keygen-persec: 249.3
sign-iters: 1000
sign-wall-median-ns: 4172611.0
sign-wall-mean-ns: 4174489.9
sign-wall-std-ns: 7398.9
sign-wall-p95-ns: 4184778.0
sign-wall-p99-ns: 4207667.0
sign-wall-ci95lo-ns: 4174031.3
sign-wall-ci95hi-ns: 4174948.5
sign-cyc-median: 225313.0
sign-cyc-mean: 225414.5
sign-persec: 239.7
verify-iters: 1000
verify-wall-median-ns: 3298055.0
verify-wall-mean-ns: 3299643.0
verify-wall-std-ns: 16392.3
verify-wall-p95-ns: 3321852.0
verify-wall-p99-ns: 3336667.0
verify-wall-ci95lo-ns: 3298627.0
verify-wall-ci95hi-ns: 3300659.0
verify-cyc-median: 178087.0
verify-cyc-mean: 178171.5
verify-persec: 303.2
size-key-bits: 384
size-pubkey-bytes: 97
size-signature-max-bytes: 104
