openssl: OpenSSL 3.6.2 7 Apr 2026
algo: rsa-15360
key-size: 15360
keygen-iters: 100
keygen-wall-median-ns: 45051114103.0
keygen-wall-mean-ns: 49389919100.3
keygen-wall-std-ns: 33832614613.7
keygen-wall-p95-ns: 108819835496.0
keygen-wall-p99-ns: 127161894159.0
keygen-wall-ci95lo-ns: 42758726636.0
keygen-wall-ci95hi-ns: 56021111564.5
keygen-cyc-median: 121097389620.0
keygen-cyc-mean: 132760097363.7
keygen-persec: 0.0
pss-sign-iters: 100
pss-sign-wall-median-ns: 151962672.0
pss-sign-wall-mean-ns: 152090828.0
pss-sign-wall-std-ns: 1360246.9
pss-sign-wall-p95-ns: 152114281.0
pss-sign-wall-p99-ns: 159531881.0
pss-sign-wall-ci95lo-ns: 151824219.6
pss-sign-wall-ci95hi-ns: 152357436.4
pss-sign-cyc-median: 408475584.0
pss-sign-cyc-mean: 408820034.3
pss-sign-persec: 6.6
pss-verify-iters: 100
pss-verify-wall-median-ns: 669303.0
pss-verify-wall-mean-ns: 669269.2
pss-verify-wall-std-ns: 3568.8
pss-verify-wall-p95-ns: 673787.0
pss-verify-wall-p99-ns: 678429.0
pss-verify-wall-ci95lo-ns: 668569.7
pss-verify-wall-ci95hi-ns: 669968.7
pss-verify-cyc-median: 1799026.0
pss-verify-cyc-mean: 1798933.4
pss-verify-persec: 1494.1
oaep-encrypt-iters: 100
oaep-encrypt-wall-median-ns: 669207.0
oaep-encrypt-wall-mean-ns: 668640.5
oaep-encrypt-wall-std-ns: 2704.1
oaep-encrypt-wall-p95-ns: 672298.0
oaep-encrypt-wall-p99-ns: 673026.0
oaep-encrypt-wall-ci95lo-ns: 668110.5
oaep-encrypt-wall-ci95hi-ns: 669170.5
oaep-encrypt-cyc-median: 1798772.0
oaep-encrypt-cyc-mean: 1797243.4
oaep-encrypt-persec: 1494.3
oaep-decrypt-iters: 100
oaep-decrypt-wall-median-ns: 151931997.0
oaep-decrypt-wall-mean-ns: 152012525.6
oaep-decrypt-wall-std-ns: 1329097.0
oaep-decrypt-wall-p95-ns: 152120754.0
oaep-decrypt-wall-p99-ns: 159378710.0
oaep-decrypt-wall-ci95lo-ns: 151752022.5
oaep-decrypt-wall-ci95hi-ns: 152273028.6
oaep-decrypt-cyc-median: 408393112.0
oaep-decrypt-cyc-mean: 408609578.8
oaep-decrypt-persec: 6.6
size-key-bits: 15360
size-signature-bytes: 1920
