openssl: OpenSSL 3.6.2 7 Apr 2026
algo: rsa-15360
key-size: 15360
keygen-iters: 100
keygen-wall-median-ns: 41852555608.0
keygen-wall-mean-ns: 49380804441.2
keygen-wall-std-ns: 36112963924.9
keygen-wall-p95-ns: 125990592484.0
keygen-wall-p99-ns: 156049779113.0
keygen-wall-ci95lo-ns: 42302663512.0
keygen-wall-ci95hi-ns: 56458945370.5
keygen-cyc-median: 112499665632.0
keygen-cyc-mean: 132735597325.0
keygen-persec: 0.0
pss-sign-iters: 100
pss-sign-wall-median-ns: 151943116.0
pss-sign-wall-mean-ns: 152042562.6
pss-sign-wall-std-ns: 1374617.6
pss-sign-wall-p95-ns: 152092259.0
pss-sign-wall-p99-ns: 159761307.0
pss-sign-wall-ci95lo-ns: 151773137.5
pss-sign-wall-ci95hi-ns: 152311987.6
pss-sign-cyc-median: 408423012.0
pss-sign-cyc-mean: 408690322.7
pss-sign-persec: 6.6
pss-verify-iters: 100
pss-verify-wall-median-ns: 669529.0
pss-verify-wall-mean-ns: 669238.3
pss-verify-wall-std-ns: 3288.4
pss-verify-wall-p95-ns: 672971.0
pss-verify-wall-p99-ns: 675166.0
pss-verify-wall-ci95lo-ns: 668593.8
pss-verify-wall-ci95hi-ns: 669882.8
pss-verify-cyc-median: 1799630.0
pss-verify-cyc-mean: 1798848.2
pss-verify-persec: 1493.6
oaep-encrypt-iters: 100
oaep-encrypt-wall-median-ns: 669516.0
oaep-encrypt-wall-mean-ns: 669684.8
oaep-encrypt-wall-std-ns: 2566.7
oaep-encrypt-wall-p95-ns: 673894.0
oaep-encrypt-wall-p99-ns: 674742.0
oaep-encrypt-wall-ci95lo-ns: 669181.7
oaep-encrypt-wall-ci95hi-ns: 670187.9
oaep-encrypt-cyc-median: 1799602.0
oaep-encrypt-cyc-mean: 1800052.2
oaep-encrypt-persec: 1493.6
oaep-decrypt-iters: 100
oaep-decrypt-wall-median-ns: 152024655.0
oaep-decrypt-wall-mean-ns: 152189529.7
oaep-decrypt-wall-std-ns: 1286306.2
oaep-decrypt-wall-p95-ns: 152110569.0
oaep-decrypt-wall-p99-ns: 159406449.0
oaep-decrypt-wall-ci95lo-ns: 151937413.7
oaep-decrypt-wall-ci95hi-ns: 152441645.8
oaep-decrypt-cyc-median: 408642198.0
oaep-decrypt-cyc-mean: 409085372.4
oaep-decrypt-persec: 6.6
size-key-bits: 15360
size-signature-bytes: 1920
