openssl: OpenSSL 3.6.2 7 Apr 2026
algo: rsa-15360
key-size: 15360
keygen-iters: 100
keygen-wall-median-ns: 42346637035.0
keygen-wall-mean-ns: 49046768789.8
keygen-wall-std-ns: 32887326738.1
keygen-wall-p95-ns: 107293612893.0
keygen-wall-p99-ns: 153971274469.0
keygen-wall-ci95lo-ns: 42600852749.1
keygen-wall-ci95hi-ns: 55492684830.5
keygen-cyc-median: 113827756178.0
keygen-cyc-mean: 131837709686.1
keygen-persec: 0.0
pss-sign-iters: 100
pss-sign-wall-median-ns: 152054415.0
pss-sign-wall-mean-ns: 152184490.2
pss-sign-wall-std-ns: 1404103.2
pss-sign-wall-p95-ns: 152263880.0
pss-sign-wall-p99-ns: 159990915.0
pss-sign-wall-ci95lo-ns: 151909285.9
pss-sign-wall-ci95hi-ns: 152459694.4
pss-sign-cyc-median: 408722184.0
pss-sign-cyc-mean: 409071818.1
pss-sign-persec: 6.6
pss-verify-iters: 100
pss-verify-wall-median-ns: 677661.0
pss-verify-wall-mean-ns: 677583.6
pss-verify-wall-std-ns: 3110.7
pss-verify-wall-p95-ns: 682517.0
pss-verify-wall-p99-ns: 685517.0
pss-verify-wall-ci95lo-ns: 676973.9
pss-verify-wall-ci95hi-ns: 678193.3
pss-verify-cyc-median: 1821478.0
pss-verify-cyc-mean: 1821281.5
pss-verify-persec: 1475.7
oaep-encrypt-iters: 100
oaep-encrypt-wall-median-ns: 667385.0
oaep-encrypt-wall-mean-ns: 667087.8
oaep-encrypt-wall-std-ns: 2845.6
oaep-encrypt-wall-p95-ns: 671167.0
oaep-encrypt-wall-p99-ns: 672046.0
oaep-encrypt-wall-ci95lo-ns: 666530.1
oaep-encrypt-wall-ci95hi-ns: 667645.5
oaep-encrypt-cyc-median: 1793876.0
oaep-encrypt-cyc-mean: 1793072.3
oaep-encrypt-persec: 1498.4
oaep-decrypt-iters: 100
oaep-decrypt-wall-median-ns: 152071056.0
oaep-decrypt-wall-mean-ns: 152307860.4
oaep-decrypt-wall-std-ns: 1319185.9
oaep-decrypt-wall-p95-ns: 152273421.0
oaep-decrypt-wall-p99-ns: 159820041.0
oaep-decrypt-wall-ci95lo-ns: 152049300.0
oaep-decrypt-wall-ci95hi-ns: 152566420.9
oaep-decrypt-cyc-median: 408766924.0
oaep-decrypt-cyc-mean: 409403445.6
oaep-decrypt-persec: 6.6
size-key-bits: 15360
size-signature-bytes: 1920
