openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-DSA-87
keygen-iters: 1000
keygen-wall-median-ns: 173638.0
keygen-wall-mean-ns: 173853.3
keygen-wall-std-ns: 2279.7
keygen-wall-p95-ns: 175806.0
keygen-wall-p99-ns: 179804.0
keygen-wall-ci95lo-ns: 173712.0
keygen-wall-ci95hi-ns: 173994.6
keygen-cyc-median: 466672.0
keygen-cyc-mean: 467250.0
keygen-persec: 5759.1
sign-iters: 1000
sign-wall-median-ns: 588050.0
sign-wall-mean-ns: 730436.5
sign-wall-std-ns: 437987.9
sign-wall-p95-ns: 1532754.0
sign-wall-p99-ns: 2334570.0
sign-wall-ci95lo-ns: 703289.8
sign-wall-ci95hi-ns: 757583.3
sign-cyc-median: 1580614.0
sign-cyc-mean: 1963343.9
sign-persec: 1700.5
verify-iters: 1000
verify-wall-median-ns: 184059.0
verify-wall-mean-ns: 184160.4
verify-wall-std-ns: 1804.4
verify-wall-p95-ns: 185766.0
verify-wall-p99-ns: 187837.0
verify-wall-ci95lo-ns: 184048.6
verify-wall-ci95hi-ns: 184272.3
verify-cyc-median: 494674.0
verify-cyc-mean: 494950.4
verify-persec: 5433.0
size-key-bits: 20736
size-pubkey-bytes: 2592
size-privkey-bytes: 4896
size-signature-bytes: 4627
