openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-DSA-87
keygen-iters: 1000
keygen-wall-median-ns: 173881.0
keygen-wall-mean-ns: 174172.3
keygen-wall-std-ns: 4555.5
keygen-wall-p95-ns: 175891.0
keygen-wall-p99-ns: 181139.0
keygen-wall-ci95lo-ns: 173890.0
keygen-wall-ci95hi-ns: 174454.7
keygen-cyc-median: 467328.0
keygen-cyc-mean: 468107.0
keygen-persec: 5751.1
sign-iters: 1000
sign-wall-median-ns: 586736.0
sign-wall-mean-ns: 725779.6
sign-wall-std-ns: 489545.0
sign-wall-p95-ns: 1662917.0
sign-wall-p99-ns: 2478557.0
sign-wall-ci95lo-ns: 695437.3
sign-wall-ci95hi-ns: 756121.9
sign-cyc-median: 1577084.0
sign-cyc-mean: 1950830.3
sign-persec: 1704.3
verify-iters: 1000
verify-wall-median-ns: 183778.0
verify-wall-mean-ns: 183969.2
verify-wall-std-ns: 1929.3
verify-wall-p95-ns: 185548.0
verify-wall-p99-ns: 191404.0
verify-wall-ci95lo-ns: 183849.6
verify-wall-ci95hi-ns: 184088.8
verify-cyc-median: 493936.0
verify-cyc-mean: 494445.9
verify-persec: 5441.3
size-key-bits: 20736
size-pubkey-bytes: 2592
size-privkey-bytes: 4896
size-signature-bytes: 4627
