openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-DSA-87
keygen-iters: 1000
keygen-wall-median-ns: 173862.0
keygen-wall-mean-ns: 174061.7
keygen-wall-std-ns: 1981.7
keygen-wall-p95-ns: 176414.0
keygen-wall-p99-ns: 180628.0
keygen-wall-ci95lo-ns: 173938.8
keygen-wall-ci95hi-ns: 174184.5
keygen-cyc-median: 467272.0
keygen-cyc-mean: 467810.2
keygen-persec: 5751.7
sign-iters: 1000
sign-wall-median-ns: 585524.0
sign-wall-mean-ns: 719458.0
sign-wall-std-ns: 477817.4
sign-wall-p95-ns: 1666954.0
sign-wall-p99-ns: 2462453.0
sign-wall-ci95lo-ns: 689842.5
sign-wall-ci95hi-ns: 749073.4
sign-cyc-median: 1573808.0
sign-cyc-mean: 1933830.9
sign-persec: 1707.9
verify-iters: 1000
verify-wall-median-ns: 184087.0
verify-wall-mean-ns: 184096.4
verify-wall-std-ns: 1101.2
verify-wall-p95-ns: 185815.0
verify-wall-p99-ns: 186701.0
verify-wall-ci95lo-ns: 184028.1
verify-wall-ci95hi-ns: 184164.6
verify-cyc-median: 494754.0
verify-cyc-mean: 494782.6
verify-persec: 5432.2
size-key-bits: 20736
size-pubkey-bytes: 2592
size-privkey-bytes: 4896
size-signature-bytes: 4627
