openssl: OpenSSL 3.6.2 7 Apr 2026
algo: rsa-15360
key-size: 15360
keygen-iters: 5
keygen-wall-median-ns: 374189155795.0
keygen-wall-mean-ns: 364599127127.2
keygen-wall-std-ns: 210864512329.0
keygen-wall-p95-ns: 657501627960.0
keygen-wall-p99-ns: 657501627960.0
keygen-wall-ci95lo-ns: 179768232752.1
keygen-wall-ci95hi-ns: 549430021502.3
keygen-cyc-median: 20206214397.0
keygen-cyc-mean: 19688352855.6
keygen-persec: 0.0
pss-sign-iters: 100
pss-sign-wall-median-ns: 1600738758.0
pss-sign-wall-mean-ns: 1602635302.6
pss-sign-wall-std-ns: 10804285.1
pss-sign-wall-p95-ns: 1600870055.0
pss-sign-wall-p99-ns: 1663741610.0
pss-sign-wall-ci95lo-ns: 1600517662.7
pss-sign-wall-ci95hi-ns: 1604752942.4
pss-sign-cyc-median: 86439862.0
pss-sign-cyc-mean: 86542277.7
pss-sign-persec: 0.6
pss-verify-iters: 100
pss-verify-wall-median-ns: 6556907.0
pss-verify-wall-mean-ns: 6555886.7
pss-verify-wall-std-ns: 5130.9
pss-verify-wall-p95-ns: 6561851.0
pss-verify-wall-p99-ns: 6563463.0
pss-verify-wall-ci95lo-ns: 6554881.0
pss-verify-wall-ci95hi-ns: 6556892.3
pss-verify-cyc-median: 354068.0
pss-verify-cyc-mean: 354012.6
pss-verify-persec: 152.5
oaep-encrypt-iters: 100
oaep-encrypt-wall-median-ns: 6579074.0
oaep-encrypt-wall-mean-ns: 6578159.2
oaep-encrypt-wall-std-ns: 4343.4
oaep-encrypt-wall-p95-ns: 6584537.0
oaep-encrypt-wall-p99-ns: 6587185.0
oaep-encrypt-wall-ci95lo-ns: 6577307.9
oaep-encrypt-wall-ci95hi-ns: 6579010.5
oaep-encrypt-cyc-median: 355265.0
oaep-encrypt-cyc-mean: 355215.4
oaep-encrypt-persec: 152.0
oaep-decrypt-iters: 100
oaep-decrypt-wall-median-ns: 1601459740.0
oaep-decrypt-wall-mean-ns: 1603329934.7
oaep-decrypt-wall-std-ns: 10636029.7
oaep-decrypt-wall-p95-ns: 1601582591.0
oaep-decrypt-wall-p99-ns: 1663506629.0
oaep-decrypt-wall-ci95lo-ns: 1601245272.9
oaep-decrypt-wall-ci95hi-ns: 1605414596.5
oaep-decrypt-cyc-median: 86478813.0
oaep-decrypt-cyc-mean: 86579800.7
oaep-decrypt-persec: 0.6
size-key-bits: 15360
size-signature-bytes: 1920
