openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdsa-P-521
keygen-iters: 1000
keygen-wall-median-ns: 1105011.0
keygen-wall-mean-ns: 1105618.4
keygen-wall-std-ns: 4844.6
keygen-wall-p95-ns: 1110243.0
keygen-wall-p99-ns: 1124773.0
keygen-wall-ci95lo-ns: 1105318.1
keygen-wall-ci95hi-ns: 1105918.7
keygen-cyc-median: 2970208.0
keygen-cyc-mean: 2971839.0
keygen-persec: 905.0
sign-iters: 1000
sign-wall-median-ns: 1161106.0
sign-wall-mean-ns: 1161540.6
sign-wall-std-ns: 4426.0
sign-wall-p95-ns: 1166824.0
sign-wall-p99-ns: 1178832.0
sign-wall-ci95lo-ns: 1161266.3
sign-wall-ci95hi-ns: 1161814.9
sign-cyc-median: 3120990.0
sign-cyc-mean: 3122158.9
sign-persec: 861.2
verify-iters: 1000
verify-wall-median-ns: 926257.0
verify-wall-mean-ns: 926807.3
verify-wall-std-ns: 3582.9
verify-wall-p95-ns: 931557.0
verify-wall-p99-ns: 942642.0
verify-wall-ci95lo-ns: 926585.3
verify-wall-ci95hi-ns: 927029.4
verify-cyc-median: 2489718.0
verify-cyc-mean: 2491184.9
verify-persec: 1079.6
size-key-bits: 521
size-pubkey-bytes: 133
size-signature-max-bytes: 139
