openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdsa-P-521
keygen-iters: 1000
keygen-wall-median-ns: 1105335.0
keygen-wall-mean-ns: 1109346.4
keygen-wall-std-ns: 40658.4
keygen-wall-p95-ns: 1117805.0
keygen-wall-p99-ns: 1171422.0
keygen-wall-ci95lo-ns: 1106826.4
keygen-wall-ci95hi-ns: 1111866.5
keygen-cyc-median: 2971078.0
keygen-cyc-mean: 2981859.7
keygen-persec: 904.7
sign-iters: 1000
sign-wall-median-ns: 1159973.0
sign-wall-mean-ns: 1160707.9
sign-wall-std-ns: 4192.5
sign-wall-p95-ns: 1165563.0
sign-wall-p99-ns: 1179407.0
sign-wall-ci95lo-ns: 1160448.0
sign-wall-ci95hi-ns: 1160967.7
sign-cyc-median: 3117944.0
sign-cyc-mean: 3119917.8
sign-persec: 862.1
verify-iters: 1000
verify-wall-median-ns: 926281.0
verify-wall-mean-ns: 926683.9
verify-wall-std-ns: 3125.4
verify-wall-p95-ns: 931283.0
verify-wall-p99-ns: 939031.0
verify-wall-ci95lo-ns: 926490.1
verify-wall-ci95hi-ns: 926877.6
verify-cyc-median: 2489780.0
verify-cyc-mean: 2490864.6
verify-persec: 1079.6
size-key-bits: 521
size-pubkey-bytes: 133
size-signature-max-bytes: 139
