openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-DSA-65
keygen-iters: 1000
keygen-wall-median-ns: 743611.0
keygen-wall-mean-ns: 749077.0
keygen-wall-std-ns: 21136.3
keygen-wall-p95-ns: 757296.0
keygen-wall-p99-ns: 859056.0
keygen-wall-ci95lo-ns: 747767.0
keygen-wall-ci95hi-ns: 750387.1
keygen-cyc-median: 40149.0
keygen-cyc-mean: 40444.4
keygen-persec: 1344.8
sign-iters: 1000
sign-wall-median-ns: 3525814.0
sign-wall-mean-ns: 4404873.7
sign-wall-std-ns: 3287969.7
sign-wall-p95-ns: 10920352.0
sign-wall-p99-ns: 16962519.0
sign-wall-ci95lo-ns: 4201083.2
sign-wall-ci95hi-ns: 4608664.2
sign-cyc-median: 190387.0
sign-cyc-mean: 237857.2
sign-persec: 283.6
verify-iters: 1000
verify-wall-median-ns: 794704.0
verify-wall-mean-ns: 797777.0
verify-wall-std-ns: 23611.4
verify-wall-p95-ns: 804407.0
verify-wall-p99-ns: 811500.0
verify-wall-ci95lo-ns: 796313.5
verify-wall-ci95hi-ns: 799240.4
verify-cyc-median: 42908.0
verify-cyc-mean: 43073.7
verify-persec: 1258.3
size-key-bits: 15616
size-pubkey-bytes: 1952
size-privkey-bytes: 4032
size-signature-bytes: 3309
