openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-DSA-65
keygen-iters: 1000
keygen-wall-median-ns: 744908.0
keygen-wall-mean-ns: 746688.4
keygen-wall-std-ns: 4528.0
keygen-wall-p95-ns: 755981.0
keygen-wall-p99-ns: 759870.0
keygen-wall-ci95lo-ns: 746407.8
keygen-wall-ci95hi-ns: 746969.1
keygen-cyc-median: 40218.0
keygen-cyc-mean: 40313.4
keygen-persec: 1342.4
sign-iters: 1000
sign-wall-median-ns: 3525518.0
sign-wall-mean-ns: 4412183.4
sign-wall-std-ns: 3062526.5
sign-wall-p95-ns: 10252407.0
sign-wall-p99-ns: 14549370.0
sign-wall-ci95lo-ns: 4222366.0
sign-wall-ci95hi-ns: 4602000.7
sign-cyc-median: 190372.0
sign-cyc-mean: 238250.6
sign-persec: 283.6
verify-iters: 1000
verify-wall-median-ns: 794185.0
verify-wall-mean-ns: 796582.2
verify-wall-std-ns: 9524.3
verify-wall-p95-ns: 803611.0
verify-wall-p99-ns: 805315.0
verify-wall-ci95lo-ns: 795991.9
verify-wall-ci95hi-ns: 797172.5
verify-cyc-median: 42880.0
verify-cyc-mean: 43009.2
verify-persec: 1259.2
size-key-bits: 15616
size-pubkey-bytes: 1952
size-privkey-bytes: 4032
size-signature-bytes: 3309
