openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-DSA-65
keygen-iters: 1000
keygen-wall-median-ns: 743815.0
keygen-wall-mean-ns: 745956.6
keygen-wall-std-ns: 6620.5
keygen-wall-p95-ns: 755370.0
keygen-wall-p99-ns: 761278.0
keygen-wall-ci95lo-ns: 745546.3
keygen-wall-ci95hi-ns: 746367.0
keygen-cyc-median: 40161.0
keygen-cyc-mean: 40275.7
keygen-persec: 1344.4
sign-iters: 1000
sign-wall-median-ns: 3526871.0
sign-wall-mean-ns: 4291952.8
sign-wall-std-ns: 3211143.5
sign-wall-p95-ns: 10919259.0
sign-wall-p99-ns: 15628260.0
sign-wall-ci95lo-ns: 4092924.1
sign-wall-ci95hi-ns: 4490981.6
sign-cyc-median: 190445.0
sign-cyc-mean: 231759.9
sign-persec: 283.5
verify-iters: 1000
verify-wall-median-ns: 795463.0
verify-wall-mean-ns: 797512.9
verify-wall-std-ns: 5164.8
verify-wall-p95-ns: 805000.0
verify-wall-p99-ns: 807574.0
verify-wall-ci95lo-ns: 797192.7
verify-wall-ci95hi-ns: 797833.0
verify-cyc-median: 42949.0
verify-cyc-mean: 43059.5
verify-persec: 1257.1
size-key-bits: 15616
size-pubkey-bytes: 1952
size-privkey-bytes: 4032
size-signature-bytes: 3309
