openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-KEM-768
keygen-iters: 1000
keygen-wall-median-ns: 153556.0
keygen-wall-mean-ns: 154187.4
keygen-wall-std-ns: 3512.3
keygen-wall-p95-ns: 156056.0
keygen-wall-p99-ns: 165870.0
keygen-wall-ci95lo-ns: 153969.7
keygen-wall-ci95hi-ns: 154405.1
keygen-cyc-median: 8285.0
keygen-cyc-mean: 8319.2
keygen-persec: 6512.3
encap-iters: 1000
encap-wall-median-ns: 84629.0
encap-wall-mean-ns: 84997.8
encap-wall-std-ns: 2728.1
encap-wall-p95-ns: 85111.0
encap-wall-p99-ns: 94444.0
encap-wall-ci95lo-ns: 84828.7
encap-wall-ci95hi-ns: 85166.9
encap-cyc-median: 4567.0
encap-cyc-mean: 4586.9
encap-persec: 11816.3
decap-iters: 1000
decap-wall-median-ns: 126944.0
decap-wall-mean-ns: 127292.8
decap-wall-std-ns: 2319.7
decap-wall-p95-ns: 127240.0
decap-wall-p99-ns: 136704.0
decap-wall-ci95lo-ns: 127149.0
decap-wall-ci95hi-ns: 127436.6
decap-cyc-median: 6852.0
decap-cyc-mean: 6871.0
decap-persec: 7877.5
size-key-bits: 768
size-pubkey-bytes: 1184
size-privkey-bytes: 2400
size-ciphertext-bytes: 1088
size-shared-secret-bytes: 32
