openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-KEM-768
keygen-iters: 1000
keygen-wall-median-ns: 154037.0
keygen-wall-mean-ns: 156274.8
keygen-wall-std-ns: 12427.2
keygen-wall-p95-ns: 164704.0
keygen-wall-p99-ns: 214055.0
keygen-wall-ci95lo-ns: 155504.5
keygen-wall-ci95hi-ns: 157045.0
keygen-cyc-median: 8311.0
keygen-cyc-mean: 8432.1
keygen-persec: 6491.9
encap-iters: 1000
encap-wall-median-ns: 84889.0
encap-wall-mean-ns: 88100.8
encap-wall-std-ns: 18418.8
encap-wall-p95-ns: 94037.0
encap-wall-p99-ns: 168815.0
encap-wall-ci95lo-ns: 86959.2
encap-wall-ci95hi-ns: 89242.4
encap-cyc-median: 4580.0
encap-cyc-mean: 4753.0
encap-persec: 11780.1
decap-iters: 1000
decap-wall-median-ns: 126815.0
decap-wall-mean-ns: 127135.0
decap-wall-std-ns: 1693.9
decap-wall-p95-ns: 127055.0
decap-wall-p99-ns: 136370.0
decap-wall-ci95lo-ns: 127030.0
decap-wall-ci95hi-ns: 127240.0
decap-cyc-median: 6844.0
decap-cyc-mean: 6861.5
decap-persec: 7885.5
size-key-bits: 768
size-pubkey-bytes: 1184
size-privkey-bytes: 2400
size-ciphertext-bytes: 1088
size-shared-secret-bytes: 32
