openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdsa-P-256
keygen-iters: 1000
keygen-wall-median-ns: 92796.0
keygen-wall-mean-ns: 93187.7
keygen-wall-std-ns: 2991.7
keygen-wall-p95-ns: 93648.0
keygen-wall-p99-ns: 104352.0
keygen-wall-ci95lo-ns: 93002.3
keygen-wall-ci95hi-ns: 93373.2
keygen-cyc-median: 5005.0
keygen-cyc-mean: 5025.8
keygen-persec: 10776.3
sign-iters: 1000
sign-wall-median-ns: 118129.0
sign-wall-mean-ns: 118528.9
sign-wall-std-ns: 2221.7
sign-wall-p95-ns: 119111.0
sign-wall-p99-ns: 128426.0
sign-wall-ci95lo-ns: 118391.2
sign-wall-ci95hi-ns: 118666.6
sign-cyc-median: 6372.0
sign-cyc-mean: 6393.7
sign-persec: 8465.3
verify-iters: 1000
verify-wall-median-ns: 345426.0
verify-wall-mean-ns: 350319.5
verify-wall-std-ns: 19535.7
verify-wall-p95-ns: 364093.0
verify-wall-p99-ns: 459685.0
verify-wall-ci95lo-ns: 349108.6
verify-wall-ci95hi-ns: 351530.3
verify-cyc-median: 18647.0
verify-cyc-mean: 18911.1
verify-persec: 2895.0
size-key-bits: 256
size-pubkey-bytes: 65
size-signature-max-bytes: 72
