openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ecdsa-P-256
keygen-iters: 1000
keygen-wall-median-ns: 12168.0
keygen-wall-mean-ns: 13215.8
keygen-wall-std-ns: 5849.3
keygen-wall-p95-ns: 24913.0
keygen-wall-p99-ns: 25113.0
keygen-wall-ci95lo-ns: 12853.2
keygen-wall-ci95hi-ns: 13578.3
keygen-cyc-median: 32642.0
keygen-cyc-mean: 35445.4
keygen-persec: 82182.8
sign-iters: 1000
sign-wall-median-ns: 16966.0
sign-wall-mean-ns: 17056.9
sign-wall-std-ns: 1581.8
sign-wall-p95-ns: 17096.0
sign-wall-p99-ns: 18340.0
sign-wall-ci95lo-ns: 16958.9
sign-wall-ci95hi-ns: 17154.9
sign-cyc-median: 45544.0
sign-cyc-mean: 45786.0
sign-persec: 58941.4
verify-iters: 1000
verify-wall-median-ns: 52690.0
verify-wall-mean-ns: 52767.9
verify-wall-std-ns: 591.6
verify-wall-p95-ns: 53660.0
verify-wall-p99-ns: 54161.0
verify-wall-ci95lo-ns: 52731.3
verify-wall-ci95hi-ns: 52804.6
verify-cyc-median: 141562.0
verify-cyc-mean: 141774.8
verify-persec: 18978.9
size-key-bits: 256
size-pubkey-bytes: 65
size-signature-max-bytes: 72
