openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-DSA-87
keygen-iters: 1000
keygen-wall-median-ns: 174484.0
keygen-wall-mean-ns: 174679.9
keygen-wall-std-ns: 1847.2
keygen-wall-p95-ns: 176843.0
keygen-wall-p99-ns: 181866.0
keygen-wall-ci95lo-ns: 174565.4
keygen-wall-ci95hi-ns: 174794.4
keygen-cyc-median: 468946.0
keygen-cyc-mean: 469471.5
keygen-persec: 5731.2
sign-iters: 1000
sign-wall-median-ns: 585686.0
sign-wall-mean-ns: 685543.9
sign-wall-std-ns: 427871.9
sign-wall-p95-ns: 1530404.0
sign-wall-p99-ns: 2199038.0
sign-wall-ci95lo-ns: 659024.1
sign-wall-ci95hi-ns: 712063.6
sign-cyc-median: 1574256.0
sign-cyc-mean: 1842667.5
sign-persec: 1707.4
verify-iters: 1000
verify-wall-median-ns: 184245.0
verify-wall-mean-ns: 184327.3
verify-wall-std-ns: 1947.2
verify-wall-p95-ns: 186094.0
verify-wall-p99-ns: 187078.0
verify-wall-ci95lo-ns: 184206.6
verify-wall-ci95hi-ns: 184447.9
verify-cyc-median: 495186.0
verify-cyc-mean: 495406.2
verify-persec: 5427.6
size-key-bits: 20736
size-pubkey-bytes: 2592
size-privkey-bytes: 4896
size-signature-bytes: 4627
