openssl: OpenSSL 3.6.2 7 Apr 2026
algo: ML-DSA-87
keygen-iters: 1000
keygen-wall-median-ns: 173800.0
keygen-wall-mean-ns: 174070.7
keygen-wall-std-ns: 2239.5
keygen-wall-p95-ns: 176616.0
keygen-wall-p99-ns: 181502.0
keygen-wall-ci95lo-ns: 173931.9
keygen-wall-ci95hi-ns: 174209.5
keygen-cyc-median: 467108.0
keygen-cyc-mean: 467828.3
keygen-persec: 5753.7
sign-iters: 1000
sign-wall-median-ns: 585753.0
sign-wall-mean-ns: 710141.6
sign-wall-std-ns: 471714.4
sign-wall-p95-ns: 1661204.0
sign-wall-p99-ns: 2209601.0
sign-wall-ci95lo-ns: 680904.4
sign-wall-ci95hi-ns: 739378.8
sign-cyc-median: 1574440.0
sign-cyc-mean: 1908792.6
sign-persec: 1707.2
verify-iters: 1000
verify-wall-median-ns: 184064.0
verify-wall-mean-ns: 184275.4
verify-wall-std-ns: 2001.4
verify-wall-p95-ns: 185906.0
verify-wall-p99-ns: 191330.0
verify-wall-ci95lo-ns: 184151.4
verify-wall-ci95hi-ns: 184399.5
verify-cyc-median: 494700.0
verify-cyc-mean: 495268.2
verify-persec: 5432.9
size-key-bits: 20736
size-pubkey-bytes: 2592
size-privkey-bytes: 4896
size-signature-bytes: 4627
